Particpants' ID,Gender,Age,f1_fear_60,m3_disop_60,m3_hap_70,m1_hap_100,m4_disop_60,m1_fear_20,f1_fear_10,m4_sad_100,m2_discl_90,m4_hap_40,m2_fear_100,m3_discl_10,f3_sad_10,f4_sad_20,m1_sur_50,m2_sad_40,f1_discl_30,m3_discl_70,f4_hap_40,m2_sad_30,f3_fear_10,m3_discl_50,f1_sur_10,m1_hap_20,f1_fear_100,m4_sur_60,f1_hap_90,m3_hap_90,m1_sur_90,m4_discl_60,f1_discl_80,m1_hap_40,m3_disop_90,f3_sad_20,m2_fear_70,m1_fear_90,m1_sur_60,f1_discl_90,m2_sur_20,f3_hap_50,f4_sad_70,m1_angcl_70,m3_disop_80,f4_sad_10,f1_sur_30,m4_hap_20,m2_sur_30,f1_fear_80,f3_hap_20,f1_discl_20,m2_angcl_10,f4_sad_80,m2_disop_80,m3_sad_100,f3_sad_40,f3_angcl_20,m4_disop_10,f1_disop_40,m2_hap_70,m1_angcl_80,f4_hap_90,m2_discl_40,m1_hap_10,f1_discl_70,m4_hap_80,m2_sad_10,f1_fear_30,m2_hap_50,m2_disop_10,f4_discl_80,f3_angcl_30,m1_discl_50,f4_discl_40,f3_sur_30,f1_disop_30,f3_fear_30,f4_discl_20,m1_sur_10,m3_hap_50,m4_disop_90,m2_angcl_20,f4_hap_80,m4_sad_60,f4_hap_50,f3_sad_60,m4_discl_50,f4_hap_10,m3_sur_50,m2_hap_90,m2_neutral,m4_sad_90,m4_sad_80,m1_discl_60,m3_discl_30,m2_sur_80,f3_angcl_40,m1_fear_80,m3_discl_90,m4_sad_70,m3_sad_10,m1_sur_20,m3_sad_20,m2_sad_20,m3_hap_60,m3_sur_30,f3_hap_70,f3_sur_70,m2_hap_20,m1_angcl_90,f1_hap_40,m2_disop_90,f1_sad_80,m4_sad_50,m2_sad_80,f1_sur_50,m1_hap_80,f1_sad_60,f4_sad_60,m2_hap_10,m3_discl_100,f4_sur_100,f1_hap_100,f4_discl_90,m1_hap_70,f4_sad_90,m3_sur_10,f1_discl_100,m2_fear_40,f1_disop_20,m1_discl_90,m3_sur_90,m3_sad_70,f3_hap_80,f4_sur_10,m4_hap_50,f4_sur_40,f1_hap_60,m4_disop_70,m2_fear_20,f1_hap_70,m3_disop_20,f4_discl_30,m1_neutral,m3_sur_80,m3_discl_40,m3_hap_40,f4_sur_90,m1_fear_60,m4_discl_40,f3_sur_20,m2_hap_60,f1_discl_10,f1_discl_50,m4_sad_30,f1_fear_20,f3_sur_50,m1_sur_100,m1_fear_100,m2_discl_70,f1_fear_70,f1_disop_70,m4_sur_70,f3_sad_70,f1_fear_90,m4_sur_40,f4_sad_50,f4_sur_30,f1_hap_20,m2_discl_100,f4_sur_70,m2_sur_70,m4_disop_100,f1_disop_90,m2_sad_100,m1_hap_60,m2_angcl_90,m1_angcl_20,m2_angcl_100,m4_discl_90,f1_fear_40,m4_disop_80,f1_disop_10,f1_sur_70,f3_hap_40,f3_sur_40,f1_sad_20,m3_neutral,m1_fear_50,m2_sur_50,f3_sad_80,f4_hap_100,m1_sur_70,f3_hap_30,m4_sur_10,m2_discl_80,f3_fear_20,m2_angcl_30,m4_sur_50,m4_discl_10,m2_fear_50,m2_angcl_70,m3_hap_80,m2_disop_40,m2_disop_20,f1_sur_20,m4_hap_60,m1_hap_90,m2_sad_50,f3_fear_70,m2_disop_70,m3_disop_30,m2_fear_90,f3_fear_90,f4_sur_60,f3_fear_100,m4_hap_10,m2_sur_100,f3_sad_90,m1_angcl_10,f1_neutral,m1_hap_50,m1_discl_10,m3_disop_100,m1_angcl_50,m2_disop_60,f4_discl_70,m4_sad_40,f3_angcl_50,f4_sur_80,f1_discl_40,m1_fear_30,f4_hap_70,f3_sur_80,f1_sur_40,m2_disop_30,f3_sur_100,m1_discl_100,m3_sad_60,m1_discl_20,m2_hap_40,f3_hap_100,f4_sad_40,m1_discl_30,m3_disop_40,m2_discl_60,m2_angcl_50,m2_fear_80,f1_sad_40,m2_disop_50,m4_discl_80,m3_sad_40,f1_disop_50,f1_sad_30,f3_fear_40,m4_discl_70,m4_discl_100,m4_disop_40,f1_disop_80,f1_sur_80,m2_discl_50,m3_hap_10,m4_neutral,m3_sad_30,m3_sur_40,f4_discl_60,f4_hap_30,m1_angcl_100,m3_sur_60,f4_sad_30,f1_disop_60,m4_disop_30,f3_hap_10,f4_neutral,f3_sur_60,f3_hap_60,f1_hap_10,m2_discl_30,f4_hap_20,m2_sur_90,m2_discl_10,m1_sur_40,m2_disop_100,f3_angcl_10,m1_fear_70,m3_discl_60,f3_sad_30,m2_hap_30,f3_sur_10,m1_angcl_40,m4_disop_20,m4_sur_100,f4_discl_10,m4_sad_20,f1_sur_60,m1_fear_40,m4_hap_90,f1_hap_30,m4_discl_30,m3_hap_20,m1_hap_30,m3_sad_80,m1_sur_30,f3_fear_50,m4_sur_20,m4_sur_80,f4_sad_100,f4_sur_20,m3_sur_70,m4_sur_30,f3_angcl_70,f3_sur_90,m3_disop_70,m3_sad_50,m1_sur_80,m4_hap_100,f3_neutral,f1_discl_60,m1_angcl_30,m3_hap_30,m4_sad_10,m3_discl_20,m1_discl_80,m3_sur_100,f4_discl_50,m1_discl_70,m4_hap_30,m2_sad_70,f1_sad_10,m2_hap_100,m3_sad_90,f1_sad_90,m2_discl_20,m1_discl_40,m2_sur_60,f1_hap_80,f1_fear_50,m4_hap_70,m3_hap_100,f1_sad_70,f1_hap_50,f1_sad_50,m4_discl_20,m3_disop_10,m2_fear_60,m2_sur_10,f3_sad_50,m2_sad_60,f3_hap_90,f3_fear_60,m2_sad_90,m1_fear_10,m1_angcl_60,m3_discl_80,f4_sur_50,f3_sad_100,m3_sur_20,m4_sur_90,f4_discl_100,f3_angcl_60,f1_disop_100,f1_sur_90,f1_sad_100,f3_angcl_80,m2_angcl_60,m2_angcl_80,f3_angcl_90,f3_angcl_100,m4_disop_50,m2_fear_30,f3_fear_80,f4_hap_60,m3_disop_50,m2_fear_10,m2_sur_40,f1_sur_100,m2_hap_80,m2_angcl_40
39,f,21,3,3,5,5,6,1,1,6,3,5,7,1,2,1,7,3,2,6,5,3,3,6,1,5,4,7,5,5,7,3,2,5,6,2,4,4,7,3,7,5,2,2,6,1,1,1,7,4,1,1,1,2,6,6,3,1,1,2,5,3,5,3,1,2,5,1,4,5,1,3,1,6,2,7,2,2,5,1,5,6,3,5,6,5,3,6,1,7,5,1,6,6,6,3,7,2,4,6,6,1,7,6,3,5,7,5,7,5,2,5,6,6,1,2,7,5,6,2,1,6,7,5,3,5,2,1,3,3,2,6,7,6,5,7,5,7,5,6,1,5,3,3,1,7,3,5,7,4,3,2,5,1,3,1,1,7,7,4,3,4,2,7,6,4,7,2,7,1,6,7,7,6,6,2,5,2,1,2,6,3,6,1,7,5,7,1,1,6,7,6,5,7,1,1,3,1,3,7,1,4,3,5,3,1,1,5,5,3,4,3,3,4,7,7,4,1,7,6,1,1,5,1,6,4,3,3,1,3,7,3,6,5,7,1,3,7,6,6,1,5,5,3,2,3,3,3,7,6,3,6,6,3,6,3,6,6,3,6,7,3,1,1,6,7,2,5,3,7,6,2,3,1,1,7,5,1,3,5,7,1,7,6,1,4,3,4,5,1,3,3,7,1,1,7,6,5,5,6,1,1,6,7,4,1,7,2,7,7,1,2,7,6,6,7,5,1,3,3,3,1,3,6,7,3,3,5,3,1,5,6,6,3,6,7,5,4,5,5,4,5,3,1,1,4,1,3,3,3,4,4,1,3,6,7,6,1,7,2,2,6,7,6,2,3,3,2,2,3,3,7,5,3,1,7,7,5,2
40,m,21,4,2,5,5,6,1,1,3,2,5,4,1,2,3,7,2,2,6,5,3,1,2,1,5,4,7,5,5,7,2,2,5,2,1,3,4,7,2,7,5,3,2,2,1,1,5,7,4,1,1,1,3,6,6,6,1,1,2,5,2,5,2,1,2,5,1,3,5,1,2,2,2,2,7,2,7,1,1,3,2,2,5,3,5,6,2,1,7,5,1,6,6,2,2,7,2,4,6,3,1,7,2,2,3,7,5,7,1,2,5,6,6,3,3,7,5,6,3,1,6,7,5,2,5,3,2,2,3,1,6,7,6,5,1,5,7,5,6,1,5,2,3,1,7,2,3,7,4,2,1,5,1,2,2,1,7,7,4,2,4,2,7,6,3,7,3,7,1,2,7,7,2,2,3,5,2,1,2,6,3,2,1,7,3,7,1,2,4,7,6,5,7,3,1,2,1,2,7,1,7,2,5,3,3,1,5,5,3,4,6,2,7,7,7,4,1,7,6,1,1,5,1,2,2,3,2,6,2,7,2,3,5,7,1,3,7,6,6,1,5,5,3,3,2,2,2,4,6,3,2,6,2,6,4,2,2,2,2,7,2,1,1,2,7,2,5,2,7,3,2,2,1,1,7,5,1,2,5,7,1,7,6,1,6,6,2,5,1,2,2,7,3,1,7,4,5,5,2,3,5,6,7,7,1,7,2,7,7,7,2,7,2,6,7,5,1,2,2,1,1,3,2,7,2,2,3,2,1,5,6,6,2,3,7,5,3,5,5,6,5,3,1,2,7,1,6,3,3,4,3,1,2,6,7,6,3,7,2,2,2,7,6,2,2,2,2,2,2,3,4,5,2,1,7,7,5,2
41,f,22,4,6,5,5,6,1,1,6,2,5,3,1,1,1,7,6,2,6,5,6,1,6,1,1,4,7,5,5,7,6,2,5,6,3,4,4,7,2,7,5,6,2,6,1,7,1,7,4,1,1,1,6,6,6,6,1,1,2,5,2,5,3,1,2,5,1,1,5,1,2,1,3,2,7,2,7,6,1,3,6,2,5,6,5,6,6,1,7,5,1,6,6,6,3,7,1,4,6,6,1,7,1,1,5,7,5,7,5,2,5,6,6,1,6,7,5,6,6,1,6,7,5,2,5,6,1,2,3,2,6,7,6,5,1,5,7,5,6,1,5,1,3,1,7,6,1,7,4,6,1,5,1,2,1,1,7,7,4,3,4,2,7,6,4,7,6,7,1,6,7,7,6,2,6,5,2,1,2,6,3,6,1,7,5,7,1,1,4,7,6,5,7,3,1,3,1,2,7,1,2,2,5,3,1,1,5,5,3,7,3,3,7,3,7,4,1,7,6,1,1,5,1,2,2,3,2,6,2,7,2,4,5,7,1,2,7,6,6,1,5,5,6,1,6,3,2,7,1,3,6,6,2,1,7,6,6,3,2,7,3,1,1,6,7,2,5,2,7,6,2,1,1,1,7,5,1,2,5,7,1,7,6,1,4,6,6,5,1,2,1,7,1,1,7,4,5,1,1,1,1,6,7,7,1,7,6,7,7,7,2,7,6,6,7,5,1,3,2,1,1,1,6,7,2,6,1,6,1,5,6,6,3,2,7,5,4,5,5,6,5,6,1,1,4,1,6,6,6,7,6,1,2,6,7,6,7,7,2,2,2,7,6,2,2,2,2,2,6,2,4,5,6,1,7,7,5,2
42,f,20,4,2,5,5,7,1,1,6,3,5,3,1,1,1,7,6,1,6,5,3,1,3,1,1,4,7,5,5,7,3,2,5,2,1,6,4,7,2,7,5,6,2,2,1,5,5,7,4,1,1,1,6,6,6,6,1,1,2,5,2,5,2,1,3,5,1,4,5,1,2,1,3,2,7,2,1,3,1,5,6,2,5,6,5,6,2,1,7,5,1,6,6,3,6,7,2,4,6,6,1,7,1,1,5,7,3,7,5,2,5,6,6,1,6,7,5,6,6,1,6,7,5,2,5,6,1,2,6,3,2,7,6,5,4,5,7,5,2,1,5,1,6,1,7,3,5,7,4,3,4,5,1,3,1,1,7,7,4,3,4,3,7,6,4,7,6,7,5,3,7,7,2,3,6,5,2,1,2,3,4,2,1,7,5,7,1,1,3,7,6,5,7,5,1,3,1,2,7,1,4,2,5,3,1,1,5,5,6,7,6,2,7,7,7,4,1,7,6,1,1,5,1,2,2,3,2,1,2,7,2,4,5,7,7,2,7,3,6,1,5,5,6,2,2,2,2,4,6,2,3,6,2,6,4,3,3,2,2,7,2,1,1,1,7,2,5,2,7,6,2,2,2,1,7,5,5,2,5,7,1,7,6,1,4,3,6,5,1,2,1,7,1,1,7,4,5,5,2,5,5,6,7,4,7,7,6,7,7,7,2,7,2,6,7,5,1,2,2,5,1,1,3,7,2,3,5,6,1,5,6,6,2,2,7,5,4,5,5,6,5,6,1,1,4,1,6,6,6,7,6,1,2,3,7,6,7,7,2,2,3,7,6,2,2,2,2,2,2,6,7,5,2,1,7,7,5,2
43,f,21,4,6,5,5,7,1,1,6,2,5,7,1,1,1,7,6,2,3,5,6,1,6,1,5,7,7,5,5,7,4,2,5,4,1,4,4,7,2,7,5,6,2,4,1,1,1,7,4,1,2,1,6,3,6,6,1,1,2,5,2,5,2,1,2,5,1,7,5,1,3,1,2,3,7,3,1,1,1,5,2,2,5,6,5,4,2,1,7,5,1,6,6,3,3,7,2,4,3,6,1,7,1,1,5,7,5,7,1,2,5,4,6,6,6,7,5,6,6,1,3,7,5,3,5,3,1,3,3,2,3,7,6,5,4,5,7,5,3,1,5,1,3,1,7,3,5,7,3,3,1,5,1,2,1,1,7,7,7,3,3,3,7,6,3,7,6,4,1,3,7,7,3,3,6,5,2,1,2,3,3,3,1,7,5,7,1,1,3,7,6,5,7,3,1,3,1,2,7,1,3,2,5,3,1,1,5,5,6,7,6,3,4,7,7,4,1,7,6,1,1,5,1,3,3,3,3,1,2,7,2,3,5,7,1,3,5,6,6,1,5,5,6,1,4,2,2,7,6,3,6,6,3,6,6,3,3,3,2,7,2,1,1,6,7,2,3,2,7,6,2,1,1,4,7,5,1,3,3,7,1,7,6,1,4,3,3,5,1,2,1,7,3,1,7,3,5,3,1,1,1,6,7,4,1,7,6,7,7,7,2,7,3,6,7,5,1,2,1,1,1,1,3,7,3,3,5,6,1,5,6,6,1,3,7,5,4,5,5,6,5,6,1,1,4,1,3,6,6,4,6,1,2,3,7,6,7,7,2,2,2,7,6,2,2,2,2,2,3,4,7,5,3,1,7,7,5,2
44,f,21,3,3,5,5,7,1,1,6,2,1,7,1,3,1,7,3,1,3,5,1,3,3,1,1,7,7,5,5,7,2,3,5,2,1,7,7,7,2,7,5,6,2,2,1,1,5,7,7,1,1,1,6,3,6,6,1,1,3,5,2,5,3,1,3,5,1,1,5,1,3,1,2,3,7,2,1,1,1,5,2,1,5,6,5,6,4,1,7,5,1,6,6,2,2,7,1,6,6,1,1,7,1,1,5,7,5,7,1,2,5,6,3,1,6,7,5,4,3,1,6,7,5,2,5,6,1,2,4,1,2,7,6,5,1,5,7,5,2,1,5,1,1,1,7,2,5,7,6,2,7,5,1,2,1,1,7,7,6,3,6,2,7,6,6,7,4,7,1,2,7,7,2,2,6,5,2,1,3,2,7,2,1,7,5,7,1,1,6,7,6,5,7,5,1,3,1,4,7,1,3,3,5,1,1,1,5,5,6,7,3,1,3,7,7,7,1,7,6,1,1,5,1,2,4,3,2,1,1,7,1,4,5,7,1,1,7,2,6,1,5,5,3,4,1,4,4,7,6,3,2,1,3,1,7,2,2,2,3,7,2,1,1,1,7,2,5,2,7,1,2,1,1,1,7,5,1,3,5,7,1,7,6,1,7,3,3,5,1,2,1,7,1,1,7,6,5,5,1,1,5,6,7,7,1,7,6,7,7,1,3,7,3,3,7,5,1,3,1,1,1,1,6,7,3,3,5,6,1,5,6,3,1,3,7,5,7,5,5,6,5,3,1,1,3,1,3,6,4,4,4,1,3,6,7,6,1,7,2,4,2,7,6,3,2,2,2,2,3,1,6,5,3,1,7,7,5,2
45,f,22,4,2,5,5,7,1,1,6,3,5,4,1,2,5,7,2,2,3,5,6,1,6,1,5,4,7,5,5,7,3,3,5,2,2,4,4,7,3,7,5,6,2,2,5,7,5,7,4,5,2,1,6,3,6,6,2,1,2,5,2,5,3,1,3,5,1,4,5,1,3,2,3,3,7,2,2,4,7,5,3,2,5,6,5,6,3,5,7,5,1,6,6,3,2,7,2,4,3,6,1,7,1,1,5,7,5,7,5,2,5,3,6,6,6,7,5,6,6,1,3,4,5,3,5,6,1,3,4,2,3,7,6,5,7,5,7,5,3,1,5,3,3,1,7,3,5,7,4,3,7,5,1,3,6,4,7,7,4,3,4,3,7,6,4,7,6,4,5,3,7,7,3,2,3,5,2,1,2,3,4,3,1,7,5,7,6,1,4,7,6,5,7,5,1,3,2,2,7,1,4,2,5,3,3,1,5,5,6,4,3,3,4,7,7,7,1,7,6,1,1,5,1,2,2,3,3,6,2,7,2,4,5,7,7,3,7,3,6,1,5,5,6,3,3,3,2,4,6,3,3,6,3,6,7,3,3,3,3,7,3,1,1,6,7,3,5,2,7,6,2,3,1,5,7,5,5,2,5,7,1,7,6,3,4,3,6,5,1,2,1,7,4,1,7,6,5,5,3,3,5,3,7,7,7,7,6,7,7,7,2,7,2,6,7,5,3,3,2,4,1,1,3,7,3,3,4,4,1,5,6,6,2,3,7,5,4,5,5,6,5,6,1,1,4,1,6,4,6,7,6,1,2,3,7,6,7,7,3,2,3,7,6,2,3,2,2,2,3,4,7,5,3,1,7,7,5,2
46,f,20,3,3,5,5,7,1,1,6,3,5,7,1,1,1,7,2,1,3,5,1,1,3,1,5,4,7,5,5,7,3,2,5,3,1,4,4,7,2,7,5,6,2,3,1,1,1,7,4,1,1,1,6,3,6,6,1,1,2,5,2,5,2,1,2,5,1,1,5,1,2,1,2,3,4,4,1,1,1,5,3,1,5,6,5,6,2,1,7,5,1,6,6,3,1,7,1,4,3,1,1,6,2,1,5,7,5,7,5,2,5,3,6,1,3,7,5,6,6,1,3,7,5,2,5,6,1,2,4,1,3,7,6,5,7,5,7,5,2,1,5,1,2,1,7,2,5,7,4,3,1,5,1,2,1,1,7,7,4,2,4,2,7,6,4,7,1,7,1,3,7,7,3,3,2,5,2,1,2,3,4,3,1,7,5,7,1,1,4,7,6,5,7,5,1,2,1,2,7,1,4,2,5,3,1,1,5,5,2,7,3,3,4,4,4,4,1,7,6,1,1,5,1,3,2,3,2,1,2,7,2,1,5,7,1,3,7,6,6,1,5,5,6,2,3,2,2,4,1,3,6,1,2,6,1,6,3,3,3,7,2,1,1,1,7,2,5,2,7,1,2,2,1,1,7,5,1,2,5,7,1,7,6,1,4,6,1,5,1,2,1,7,1,1,7,6,5,5,3,1,5,6,7,7,1,7,6,4,7,7,2,7,3,6,7,5,1,2,2,5,1,1,3,7,3,3,5,6,1,5,6,6,2,2,7,5,4,5,5,6,5,6,1,1,4,1,6,3,2,4,3,1,2,3,4,6,7,7,3,2,3,7,6,2,2,2,2,2,3,1,3,5,3,1,7,7,5,2
47,f,22,4,3,5,5,6,6,2,6,2,5,7,1,1,1,7,3,2,6,5,3,1,2,1,5,4,7,5,5,7,6,2,5,6,6,7,4,7,3,7,5,6,2,6,5,7,5,7,7,1,2,1,6,6,6,6,1,1,3,5,2,5,2,1,2,5,1,3,5,1,2,2,6,2,7,2,2,5,7,5,6,1,5,6,5,6,3,5,7,5,1,6,6,2,2,7,2,4,6,6,1,4,2,2,5,7,5,7,5,2,5,6,6,1,3,7,5,6,6,5,6,7,5,2,5,3,1,2,4,3,6,7,6,5,7,5,7,5,2,1,5,3,2,1,7,2,5,7,4,3,1,5,2,2,1,1,7,7,4,2,3,3,7,6,4,7,2,7,5,2,7,7,6,3,3,5,2,1,2,6,3,6,1,7,5,7,1,1,4,7,6,5,7,5,1,3,1,2,7,1,4,2,5,3,1,1,5,5,3,7,6,3,4,7,7,7,1,7,6,1,2,5,1,6,2,3,2,1,2,5,2,6,5,7,1,3,7,6,6,1,5,5,1,1,3,2,2,4,6,3,6,6,3,6,4,6,6,3,2,7,2,1,1,6,4,2,5,2,4,6,3,2,1,5,7,5,1,3,5,7,1,4,6,1,4,3,1,5,1,2,2,7,5,1,7,4,5,5,2,3,5,6,7,7,1,7,3,7,7,1,2,7,3,6,7,5,1,2,1,5,1,2,6,7,2,3,5,2,2,5,6,6,2,3,7,5,4,5,5,6,5,6,1,1,4,1,6,3,3,7,3,1,2,6,7,6,6,7,2,7,3,7,6,2,2,2,2,2,3,1,7,5,3,1,7,7,5,2
48,f,22,4,2,5,5,6,1,1,6,2,1,7,1,1,1,7,1,2,3,5,2,1,3,1,1,4,7,5,5,7,2,2,5,3,1,4,4,7,2,7,5,6,2,3,1,1,1,7,4,1,2,1,6,3,6,6,1,1,2,5,2,5,2,1,2,5,1,4,5,1,2,1,2,2,7,2,1,4,1,5,3,2,5,6,5,6,3,1,7,5,1,6,6,3,2,7,2,4,6,6,1,7,1,1,5,7,5,7,1,2,5,3,6,6,6,7,5,6,6,1,3,7,7,2,5,6,1,2,4,2,3,7,6,5,1,5,7,5,3,1,5,3,2,1,7,3,5,7,4,2,7,5,1,2,1,6,7,7,4,3,4,2,7,6,4,7,6,7,1,2,7,7,2,3,6,5,2,1,2,3,4,3,1,7,5,7,1,1,4,7,6,5,7,1,1,2,1,2,7,1,4,2,5,3,1,1,5,5,3,7,3,3,7,7,7,7,1,7,6,1,1,5,1,2,2,3,2,1,2,7,2,1,5,7,7,2,7,3,6,1,5,5,6,1,3,2,2,4,6,3,3,6,2,3,4,3,6,3,2,7,2,1,1,1,7,2,5,2,7,6,2,2,1,1,7,5,1,2,1,7,1,7,6,1,4,3,3,5,1,2,2,7,4,1,7,4,5,1,3,3,1,6,7,4,1,7,6,4,7,1,2,7,2,3,7,5,1,2,3,1,1,1,3,7,2,3,1,6,1,5,6,6,2,3,7,5,4,5,5,6,5,6,1,1,4,1,3,3,6,4,6,1,2,3,7,6,7,7,3,2,3,7,6,2,2,2,2,2,3,1,4,5,2,1,7,7,5,2
49,f,21,4,3,5,5,6,1,1,6,3,5,7,1,2,6,7,6,2,6,5,4,1,6,1,5,4,7,5,5,7,6,2,5,6,2,4,4,7,2,7,5,6,2,2,6,1,1,7,4,5,2,1,6,6,6,6,1,1,2,5,6,5,2,1,2,5,1,6,5,1,3,2,3,2,7,2,4,6,7,5,6,1,5,6,5,6,2,5,7,5,1,6,6,3,3,7,2,6,6,6,1,7,6,1,5,7,5,7,5,6,5,6,6,6,6,7,5,6,6,1,6,7,5,2,5,6,6,2,4,2,6,7,6,5,7,5,7,5,6,4,5,1,6,1,7,6,5,7,6,2,7,5,3,2,1,1,7,7,6,3,4,2,7,6,4,7,6,7,5,3,7,7,6,2,6,5,6,1,3,6,4,6,1,7,5,7,6,1,6,7,6,5,7,4,1,3,2,3,7,1,4,2,5,2,3,1,5,5,3,4,3,3,4,4,7,4,1,7,6,1,1,5,1,2,2,3,2,1,2,7,2,6,5,7,1,3,7,6,6,1,5,5,6,6,4,3,4,4,6,4,6,6,2,6,7,6,6,2,2,7,2,1,1,6,7,2,5,4,7,6,2,2,2,5,7,5,1,2,5,7,1,7,6,2,6,6,6,5,1,6,1,7,5,1,7,6,5,5,3,5,5,6,7,4,1,7,6,4,7,7,2,7,6,6,7,5,2,2,1,5,1,2,6,7,3,4,5,6,1,5,6,6,2,6,7,5,6,5,5,6,5,6,1,1,4,1,6,6,6,4,6,1,6,6,7,6,7,7,4,2,2,7,6,2,3,2,2,2,2,6,4,5,6,1,7,7,5,2
50,m,22,4,2,5,5,7,1,1,6,3,5,7,1,1,1,7,1,1,3,5,3,3,3,1,1,7,7,5,5,7,3,3,5,2,1,7,3,7,3,7,5,3,3,3,1,1,1,7,4,1,1,1,2,6,6,6,1,1,2,5,2,5,2,1,2,5,1,1,5,1,2,1,3,3,7,2,1,1,1,5,2,1,5,6,5,3,3,1,7,5,1,6,6,3,3,7,1,4,2,1,1,7,1,1,5,7,5,7,5,2,5,3,3,1,3,7,5,3,4,1,3,7,5,2,5,6,1,2,7,1,3,7,6,5,5,5,7,5,2,1,5,1,2,1,7,2,5,7,4,2,1,5,1,2,1,1,7,7,4,2,3,2,7,6,4,7,6,7,5,3,7,7,2,3,6,5,2,1,2,2,3,2,1,7,5,7,1,1,4,7,6,5,7,5,1,3,1,1,7,1,7,2,5,3,1,1,5,5,1,7,3,3,7,7,7,7,1,7,6,1,1,5,1,2,2,3,3,1,1,7,2,1,5,7,1,3,7,3,3,1,5,5,4,1,2,2,2,7,6,3,2,2,2,1,7,2,2,2,3,7,2,1,1,1,7,3,5,2,7,1,2,2,1,1,7,5,1,2,5,7,1,7,3,1,7,3,1,5,1,3,1,7,1,1,7,6,5,5,2,1,1,6,7,7,1,7,6,7,7,1,2,7,2,3,7,5,1,2,1,1,1,1,3,7,2,3,5,3,1,5,6,6,1,2,7,5,3,5,5,6,5,6,1,1,7,1,6,6,6,7,6,1,2,3,7,6,7,7,3,2,3,7,6,2,2,2,2,2,2,1,7,5,2,1,7,7,5,2
51,m,20,4,2,5,5,7,1,5,6,2,5,7,1,2,3,7,1,2,6,5,1,2,6,5,1,4,7,5,5,7,2,2,5,2,2,7,4,7,2,7,5,3,2,2,1,5,5,7,4,5,1,1,3,6,6,3,2,1,2,5,2,5,2,1,2,5,1,3,5,1,2,2,2,3,7,2,1,3,1,5,2,2,5,1,5,6,3,5,7,5,1,6,6,2,2,7,2,4,6,6,1,7,1,1,5,7,5,7,5,2,5,6,6,6,6,7,5,6,3,1,6,7,5,3,5,3,1,3,7,5,3,7,6,5,7,5,7,5,2,1,5,1,3,1,7,2,5,7,4,3,1,5,1,2,1,1,7,7,4,2,4,2,7,6,4,7,6,7,5,2,7,7,2,2,6,5,4,1,2,3,3,3,1,7,5,7,1,1,4,7,6,5,7,5,1,3,1,2,7,1,3,2,5,3,1,1,5,5,6,4,3,3,4,4,2,4,1,7,6,1,1,5,1,2,2,3,3,6,2,4,2,3,5,7,7,3,7,6,6,2,5,5,3,2,2,2,2,4,6,3,3,6,2,6,3,3,3,3,2,7,3,1,1,6,7,3,5,2,7,1,2,1,1,1,7,5,1,2,5,7,1,7,6,1,4,6,3,5,1,2,1,7,5,1,7,3,5,5,1,5,5,6,7,7,1,7,3,4,7,7,2,7,2,6,7,5,1,2,2,6,1,1,3,7,3,2,5,2,1,5,6,6,2,2,7,5,4,5,5,6,5,6,2,1,4,1,6,3,2,3,3,1,2,6,4,6,7,7,3,2,3,7,6,2,2,2,2,2,3,3,3,5,3,1,7,7,5,2
52,m,22,4,3,5,5,7,1,1,6,3,1,7,1,1,1,7,3,1,3,5,1,1,3,1,1,4,7,5,5,7,3,3,5,2,1,4,4,7,2,7,5,3,2,2,1,1,1,7,4,1,2,1,3,3,6,3,2,1,3,5,2,5,3,1,3,5,1,4,5,1,3,2,2,3,7,3,2,1,1,1,6,1,5,6,5,6,3,1,6,5,1,6,6,6,2,7,2,6,6,6,1,4,1,1,5,7,5,7,1,2,5,6,6,6,6,7,5,3,3,1,6,7,5,6,5,3,1,6,7,3,6,7,6,5,5,5,7,5,6,1,5,1,1,1,7,3,1,7,6,6,6,5,1,3,1,7,7,7,6,6,3,3,7,6,7,7,3,7,1,6,7,7,6,6,3,5,2,1,2,6,4,6,1,7,5,7,1,1,4,7,6,5,4,1,1,6,1,2,7,1,4,2,5,3,1,1,5,5,1,4,6,3,4,4,7,4,1,7,6,1,1,5,1,6,2,6,3,1,2,7,6,4,5,7,7,3,7,6,6,1,5,5,6,1,3,6,2,4,6,3,6,6,3,1,4,6,6,3,6,7,6,1,1,6,7,6,5,6,4,6,6,6,1,1,7,5,1,3,1,7,1,7,6,3,6,3,2,5,1,3,1,7,1,1,7,7,5,1,3,1,1,6,7,7,1,7,3,7,7,7,3,7,6,6,7,5,1,2,1,1,1,2,6,7,3,6,1,3,1,5,6,6,3,3,7,5,7,5,5,6,5,6,1,1,7,1,1,6,6,7,3,1,3,6,7,6,1,7,6,2,6,7,6,2,2,2,2,2,2,1,4,5,3,1,7,7,5,2
